job_title,company_name,job_summary,job_link,job_tech_stack
Automation Analyst gyakornok diákmunka,MADS - Márton Áron Iskolaszövetkezet,"; Angol; Általános munkarend; Internships; Student work; High school; Data Analyst; Tester, Test... Engineer; Administration, Assistance, Office Work; IT Development; English; General work schedule Power bi; Excel BI; VBA; SECURITY; SAP; ORACLE...",https://www.profession.hu/allas/automation-analyst-gyakornok-diakmunka-mads-marton-aron-iskolaszovetkezet-budapest-2252040?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,"['BI', 'VBA', 'SECURITY', 'SAP', 'ORACLE']"
Business Analyst,VI5 Technologies Kft.,"Adatgyűjtés, adattisztítás és adatmodellezés az üzleti igények alapján. Riportok és adatvizualizációk készítése, amelyek segítik a vezetőséget a stratégiai döntésekben. Üzleti igények elemzése és üzleti folyamatok javítására irányuló javaslatok kidolgozása az adatok alapján. BI r...",https://www.profession.hu/allas/business-analyst-vi-technologies-kft-2250977?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,"['BI', 'SQL']"
Automation Analyst gyakornok diákmunka,MADS - Márton Áron Iskolaszövetkezet,"; Angol; Általános munkarend; Internships; Student work; High school; Data Analyst; Tester, Test... Engineer; Administration, Assistance, Office Work; IT Development; English; General work schedule Power bi; Excel BI; VBA; SECURITY; SAP; ORACLE...",https://www.profession.hu/allas/automation-analyst-gyakornok-diakmunka-mads-marton-aron-iskolaszovetkezet-budapest-2261162?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,"['BI', 'VBA', 'SECURITY', 'SAP', 'ORACLE']"
Intermediate Business Analyst,TATA Consultancy Services Hungary,"Business Analyst full lifecycle Development Management, functional set-up and management Writing and executing test cases Fix coding issues, being able to catch coding/logic errors in the code using RPG language Consulting with the developer team about technical approach Performi...",https://www.profession.hu/allas/intermediate-business-analyst-tata-consultancy-services-hungary-2247154/pro?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,[]
Senior IT Üzleti elemző,Magyar Posta Zrt.,"Megfogalmazott üzleti elképzelések alapján fejlesztési igények elkészítésében való aktív részvétel, Fejlesztési specifikációk egyeztetése, véglegesítése az érintett üzleti és informatikai szakterületekkel IT szempontú megfelelés biztosítása céljából, A területet érintő fejlesztés...",https://www.profession.hu/allas/senior-it-uzleti-elemzo-magyar-posta-zrt-budapest-2257682?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,[]
Junior IT Business Analyst,DORSUM Zrt.,"Senior kollégáink támogatásával részt vehetsz hosszútávú termékfejlesztési és ügyfél bevezetési projektjeinkben. Ennek során új termékek, termékfunkciók kitalálásában. Részese lehetsz azon új rendszerek megszületésének, amiket ügyfeleink fognak használni Meg kell értened ügyfelei...",https://www.profession.hu/allas/junior-it-business-analyst-dorsum-zrt-budapest-2243904?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,[]
Üzleti elemző - Kontraktor (KK),Tech People Hungary Kft.,"Digitális termék és üzleti elemzői feladatok ellátása webalkalmazás fejlesztéseknél Projektcsapatok és azok tagjainak feladatainak tervezése, priorizálása Projektek előkészítésben való részvétel a felelősségi körébe tartozó rendszerek, folyamatok, szolgáltatások kapcsán termékmen...",https://www.profession.hu/allas/uzleti-elemzo-kontraktor-kk-tech-people-hungary-kft-2260453?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,[]
Service Hub Owner (ND),Tech People Hungary Kft.,"As the Service Hub Owner, you will lead a global team of approximately 300 talented individuals, with a budget responsibility of over 15 million EUR. Your strategic vision and hands-on leadership will be instrumental in modernizing and automating our user support services, ensuri...",https://www.profession.hu/allas/service-hub-owner-nd-tech-people-hungary-kft-budapest-2253879?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,['ITIL']
Senior frontend developer (E01),Tech People Hungary Kft.,"Creating new functionalities of the financial systems Participation in the creation of the new, state of the art systems user interface Write clear, maintainable and testable code that you are proud of Confession free participation in cross-team function Running the mentorship wi...",https://www.profession.hu/allas/senior-frontend-developer-e-tech-people-hungary-kft-budapest-2243868?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,[]
Adatelemző szakember - 4 óra,UniCredit Bank Zrt.,"- Rendszeres, havi és heti riportok készítése főként excel adatbázisok alapján. - Új riportok készítése, DWH igények definiálása, meglévő riportok vizualizációjának javítása. - Riportok alapján rövid prezentációk készítése - Felhasználók támogatása a roportok értelmezésében. - Co...",https://www.profession.hu/allas/adatelemzo-szakember-ora-unicredit-bank-zrt-budapest-2256935?keyword=data%2Bengineer&hash=2e62d7abcae884b86b47dafe01310374&sessionId=3be9d69494289fd98e78b8bc786ac2ec,"['ACCESS', 'TABLEAU']"
